stock_id,period_type,period,revenue,revenue_yoy,eps,eps_yoy,roe,announce_date
1218,quarterly,2021-Q3,,,0.29,,,2021-09-30
1218,quarterly,2021-Q4,,,0.31,,,2021-12-31
1218,quarterly,2022-Q1,,,0.29,,,2022-03-31
1218,quarterly,2022-Q2,,,0.27,-3.571428571428574,,2022-06-30
1218,quarterly,2022-Q3,,,0.32,10.344827586206906,,2022-09-30
1218,quarterly,2022-Q4,,,11.29,3541.9354838709673,,2022-12-31
1218,quarterly,2023-Q1,,,-0.14,-148.27586206896552,,2023-03-31
1218,quarterly,2023-Q2,,,-0.79,-392.5925925925926,,2023-06-30
1218,quarterly,2023-Q3,,,0.36,12.499999999999993,,2023-09-30
1218,quarterly,2023-Q4,,,0.4,-96.45704162976084,,2023-12-31
1218,quarterly,2024-Q1,,,0.32,328.57142857142856,,2024-03-31
1218,quarterly,2024-Q2,,,0.42,153.1645569620253,,2024-06-30
1218,quarterly,2024-Q3,,,0.55,52.7777777777778,,2024-09-30
1218,quarterly,2024-Q4,,,0.24,-40.00000000000001,,2024-12-31
1218,quarterly,2025-Q1,,,0.37,15.624999999999996,,2025-03-31
1218,quarterly,2025-Q2,,,0.29,-30.952380952380953,,2025-06-30
1218,quarterly,2025-Q3,,,0.41,-25.454545454545464,,2025-09-30
1218,quarterly,2025-Q4,,,0.52,116.66666666666667,5.937234944868533,2025-12-31
1218,quarterly,2026-Q1,,,0.32,-13.513513513513512,6.025104602510461,2026-03-31
1219,quarterly,2021-Q2,,,0.15,,,2021-06-30
1219,quarterly,2021-Q3,,,-0.09,,,2021-09-30
1219,quarterly,2021-Q4,,,0.21,,,2021-12-31
1219,quarterly,2022-Q1,,,0.63,,,2022-03-31
1219,quarterly,2022-Q2,,,0.42,180.00000000000003,,2022-06-30
1219,quarterly,2022-Q3,,,-0.1,-11.111111111111121,,2022-09-30
1219,quarterly,2022-Q4,,,0.05,-76.19047619047619,,2022-12-31
1219,quarterly,2023-Q1,,,0.19,-69.84126984126983,,2023-03-31
