pick_date,sid,strategy,top_features,generated_at
2026-05-15,1785,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": -0.22640709635626882, ""contribution"": 0.03171907874532038, ""contribution_pct"": 22.1, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 7.789098188102191, ""contribution"": 0.03118816188852599, ""contribution_pct"": 21.7, ""direction"": ""+""}, {""feature"": ""macd_dif"", ""value"": 11.815548726327734, ""contribution"": 0.02497692431606741, ""contribution_pct"": 17.4, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,1813,bias_convergence,"[{""feature"": ""atr_normalized"", ""value"": 1.4483068950561253, ""contribution"": -0.04336504902997425, ""contribution_pct"": 24.4, ""direction"": ""-""}, {""feature"": ""bias_pct"", ""value"": -3.3088963740836177, ""contribution"": -0.03941522280773087, ""contribution_pct"": 22.2, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": -0.2918852928683684, ""contribution"": -0.027856223729643307, ""contribution_pct"": 15.7, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,2066,volume_breakout,"[{""feature"": ""bias_pct"", ""value"": 27.060547386048462, ""contribution"": -0.06674598036559634, ""contribution_pct"": 38.8, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 3.6604455147501507, ""contribution"": -0.05456144313041233, ""contribution_pct"": 31.7, ""direction"": ""-""}, {""feature"": ""atr_normalized"", ""value"": 3.5274332893539304, ""contribution"": -0.030625214224362103, ""contribution_pct"": 17.8, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,2105,general,"[{""feature"": ""macd_dif"", ""value"": 0.13838929396202104, ""contribution"": -0.03481331895301742, ""contribution_pct"": 25.3, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 1.4821861988370122, ""contribution"": 0.016697848904837918, ""contribution_pct"": 12.1, ""direction"": ""+""}, {""feature"": ""holders_delta_w_zscore"", ""value"": 0.0, ""contribution"": -0.013951935965165982, ""contribution_pct"": 10.1, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,2221,volume_breakout,"[{""feature"": ""bias_pct"", ""value"": 28.198294243070382, ""contribution"": -0.05774599134109945, ""contribution_pct"": 43.9, ""direction"": ""-""}, {""feature"": ""vol_ratio"", ""value"": 2.8109968178790794, ""contribution"": 0.015899597007746392, ""contribution_pct"": 12.1, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 4.84033744198633, ""contribution"": 0.014700030614035835, ""contribution_pct"": 11.2, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,2301,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": 0.12078978579969836, ""contribution"": 0.05786503721375043, ""contribution_pct"": 27.3, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 6.043015825312328, ""contribution"": 0.04850428376332434, ""contribution_pct"": 22.8, ""direction"": ""+""}, {""feature"": ""bias_pct"", ""value"": 10.630240735731677, ""contribution"": -0.022517331457492747, ""contribution_pct"": 10.6, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,2303,general,"[{""feature"": ""atr_normalized"", ""value"": 5.904695589197717, ""contribution"": 0.07338749936804338, ""contribution_pct"": 19.3, ""direction"": ""+""}, {""feature"": ""holders_pct_change_4w"", ""value"": 0.08943799176995293, ""contribution"": 0.0674899824277851, ""contribution_pct"": 17.8, ""direction"": ""+""}, {""feature"": ""bias_pct"", ""value"": 29.495555947966317, ""contribution"": 0.0646161490003232, ""contribution_pct"": 17.0, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,2317,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": 0.17529819420597798, ""contribution"": 0.034586592413579254, ""contribution_pct"": 19.9, ""direction"": ""+""}, {""feature"": ""inst_5d"", ""value"": 83482.014, ""contribution"": -0.03114956850535175, ""contribution_pct"": 18.0, ""direction"": ""-""}, {""feature"": ""macd_dif"", ""value"": 10.96336032501992, ""contribution"": 0.018215857278782804, ""contribution_pct"": 10.5, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
2026-05-15,2330,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": -0.06678665400057843, ""contribution"": 0.045594314046964145, ""contribution_pct"": 29.9, ""direction"": ""+""}, {""feature"": ""holders_delta_w_zscore"", ""value"": 0.04007487638589487, ""contribution"": 0.03412547470241815, ""contribution_pct"": 22.4, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 2.79708382210158, ""contribution"": -0.01978849009186974, ""contribution_pct"": 13.0, ""direction"": ""-""}]",2026-05-16T22:48:14+00:00
2026-05-15,2337,general,"[{""feature"": ""holders_pct_change_4w"", ""value"": 0.03444363130402451, ""contribution"": 0.05446697496816079, ""contribution_pct"": 24.7, ""direction"": ""+""}, {""feature"": ""macd_dif"", ""value"": 8.553508680301746, ""contribution"": 0.039330879336948094, ""contribution_pct"": 17.8, ""direction"": ""+""}, {""feature"": ""atr_normalized"", ""value"": 7.974697375314298, ""contribution"": 0.033347374067867926, ""contribution_pct"": 15.1, ""direction"": ""+""}]",2026-05-16T22:48:14+00:00
