stock_id,target_mean,target_median,target_high,target_low,num_analysts,source,fetched_at
7810,263.0,263.0,263.0,263.0,1,yfinance,2026-05-19T17:21:02+00:00
7822,1932.5,1932.5,2150.0,1715.0,2,yfinance,2026-05-19T04:21:29+00:00
8027,98.0,98.0,98.0,98.0,1,yfinance,2026-05-19T17:27:31+00:00
8028,310.0,310.0,310.0,310.0,1,yfinance,2026-05-19T17:27:31+00:00
8044,32.0,32.0,32.0,32.0,1,yfinance,2026-05-19T17:27:36+00:00
8046,825.1818,850.0,1222.0,285.0,11,yfinance,2026-05-17T15:48:04+00:00
8069,239.75,239.0,325.0,153.0,12,yfinance,2026-05-19T17:27:40+00:00
8081,266.0,253.0,300.0,245.0,3,yfinance,2026-05-19T04:21:43+00:00
8086,155.75,148.25,185.0,130.0,6,yfinance,2026-05-17T15:48:28+00:00
8091,169.0,169.0,169.0,169.0,1,yfinance,2026-05-19T17:27:42+00:00
8103,119.37255,126.0,138.0,94.11765,3,yfinance,2026-05-17T15:48:41+00:00
8105,13.7,13.7,13.7,13.7,1,yfinance,2026-05-19T17:27:45+00:00
8114,301.0,301.0,301.0,301.0,1,yfinance,2026-05-17T15:48:49+00:00
8131,62.0,62.0,62.0,62.0,1,yfinance,2026-05-17T15:48:51+00:00
8150,92.5,92.5,105.0,80.0,2,yfinance,2026-05-19T04:21:54+00:00
8155,245.0,245.0,245.0,245.0,1,yfinance,2026-05-19T04:21:55+00:00
8210,1558.3334,1700.0,1905.0,1000.0,9,yfinance,2026-05-17T15:49:02+00:00
8240,39.5,39.5,39.5,39.5,1,yfinance,2026-05-19T17:27:47+00:00
8255,138.0,138.0,138.0,138.0,1,yfinance,2026-05-19T17:27:48+00:00
8299,2863.2,2735.0,4130.0,2240.0,10,yfinance,2026-05-19T04:22:04+00:00
8349,45.0,45.0,45.0,45.0,1,yfinance,2026-05-17T15:49:22+00:00
8358,280.0,280.0,280.0,280.0,1,yfinance,2026-05-19T04:22:05+00:00
8415,36.5,36.5,36.5,36.5,1,yfinance,2026-05-19T17:27:52+00:00
8436,147.0,146.0,165.0,130.0,3,yfinance,2026-05-19T17:27:55+00:00
8446,105.0,105.0,105.0,105.0,1,yfinance,2026-05-19T04:22:12+00:00
8454,184.4,180.0,243.0,144.0,5,yfinance,2026-05-19T04:22:13+00:00
8462,180.0,180.0,194.0,166.0,2,yfinance,2026-05-17T15:50:01+00:00
8464,501.7,498.0,566.0,460.0,10,yfinance,2026-05-17T15:50:03+00:00
8478,442.0,442.0,442.0,442.0,1,yfinance,2026-05-17T15:50:10+00:00
8487,98.0,98.0,98.0,98.0,1,yfinance,2026-05-17T15:50:13+00:00
8924,92.0,92.0,92.0,92.0,1,yfinance,2026-05-17T15:50:24+00:00
8936,59.9,59.9,67.8,52.0,2,yfinance,2026-05-17T15:50:35+00:00
8996,1365.0,1505.0,1680.0,770.0,4,yfinance,2026-05-17T15:50:41+00:00
9802,112.0,110.0,126.0,100.0,3,yfinance,2026-05-17T15:50:53+00:00
9904,31.16667,31.0,32.0,30.5,3,yfinance,2026-05-19T04:22:31+00:00
9906,46.0,46.0,46.0,46.0,1,yfinance,2026-05-19T04:22:32+00:00
9910,99.8,100.0,135.0,70.9,11,yfinance,2026-05-19T04:22:33+00:00
9911,100.0,100.0,100.0,100.0,1,yfinance,2026-05-17T15:51:00+00:00
9914,92.2,81.0,150.0,70.0,10,yfinance,2026-05-17T15:51:02+00:00
9917,120.0,120.0,120.0,120.0,1,yfinance,2026-05-19T04:22:34+00:00
9921,101.75,85.5,160.0,72.0,8,yfinance,2026-05-19T17:27:57+00:00
9933,35.6,35.6,35.6,35.6,1,yfinance,2026-05-17T15:51:15+00:00
9935,26.3,26.3,26.3,26.3,1,yfinance,2026-05-17T15:51:16+00:00
9938,55.15,55.15,60.0,50.3,2,yfinance,2026-05-17T15:51:18+00:00
9939,155.0,155.0,155.0,155.0,1,yfinance,2026-05-19T17:27:58+00:00
9941,88.0,88.0,88.0,88.0,1,yfinance,2026-05-19T04:22:40+00:00
9951,66.0,66.0,66.0,66.0,1,yfinance,2026-05-19T04:22:43+00:00
9958,220.0,220.0,257.0,183.0,2,yfinance,2026-05-19T17:27:59+00:00
